;index;lon;lat;landmask;gx;gy;dataset
87;49;94.76364135742188;76.30792236328125;1.0;192.0;188.0;nsidc_v4
88;50;94.03771209716795;76.1598129272461;1.0;193.0;188.0;nsidc_v4
89;51;92.63243103027344;75.85733032226562;1.0;195.0;188.0;nsidc_v4
90;78;93.40644073486328;76.33085632324219;1.0;193.0;189.0;nsidc_v4
91;79;92.69428253173828;76.1787109375;1.0;194.0;189.0;nsidc_v4
92;80;91.99787902832033;76.02452850341797;1.0;195.0;189.0;nsidc_v4
93;81;91.31690979003906;75.868408203125;1.0;196.0;189.0;nsidc_v4
94;82;90.65106201171876;75.71041107177734;1.0;197.0;189.0;nsidc_v4
95;110;90.0;75.87210845947266;1.0;197.0;190.0;nsidc_v4
96;111;89.34893798828125;75.71041107177734;1.0;198.0;190.0;nsidc_v4
97;112;88.7126693725586;75.54698181152344;1.0;199.0;190.0;nsidc_v4
98;113;88.09085083007812;75.38188171386719;1.0;200.0;190.0;nsidc_v4
99;114;87.48312377929688;75.21517944335938;1.0;201.0;190.0;nsidc_v4
100;368;68.68209075927734;68.69319915771484;1.0;239.0;196.0;jaxa
101;369;68.43798828125;68.48867797851562;1.0;240.0;196.0;jaxa
102;408;68.362060546875;68.987060546875;1.0;238.0;197.0;jaxa
103;409;68.11766052246094;68.78185272216797;1.0;239.0;197.0;jaxa
104;410;67.87805938720703;68.57640838623047;1.0;240.0;197.0;jaxa
105;448;67.78816986083984;69.07463073730469;1.0;238.0;198.0;jaxa
106;449;67.54845428466797;68.86849975585938;1.0;239.0;198.0;jaxa
107;487;67.44912719726562;69.36697387695312;1.0;237.0;199.0;jaxa
108;488;67.20941162109375;69.16014862060547;1.0;238.0;199.0;jaxa
109;489;66.9745101928711;68.95310974121094;1.0;239.0;199.0;jaxa
110;525;72.08749389648438;73.13961029052734;1.0;219.0;200.0;jaxa
111;526;66.86053466796875;69.45133209228516;1.0;237.0;200.0;jaxa
112;527;66.62583923339844;69.24359893798828;1.0;238.0;200.0;jaxa
113;528;66.39588165283203;69.03565979003906;1.0;239.0;200.0;jaxa
114;562;71.74243927001953;73.44355773925781;1.0;218.0;201.0;jaxa
115;563;66.98524475097656;70.1582260131836;1.0;234.0;201.0;jaxa
116;564;66.74077606201172;69.95022583007812;1.0;235.0;201.0;jaxa
117;565;66.50143432617188;69.74199676513672;1.0;236.0;201.0;jaxa
118;566;66.26705932617188;69.5335693359375;1.0;237.0;201.0;jaxa
119;567;66.03751373291016;69.32493591308594;1.0;238.0;201.0;jaxa
120;602;71.02959442138672;73.5440902709961;1.0;218.0;202.0;jaxa
121;603;68.19859313964844;71.69673156738281;1.0;227.0;202.0;jaxa
122;604;66.86430358886719;70.65825653076172;1.0;232.0;202.0;jaxa
123;605;66.61477661132812;70.44976806640625;1.0;233.0;202.0;jaxa
124;606;66.37062072753906;70.24105072021484;1.0;234.0;202.0;jaxa
125;610;65.44450378417969;69.40414428710938;1.0;238.0;202.0;jaxa
126;644;70.30797576904297;73.64210510253906;1.0;218.0;203.0;jaxa
127;645;69.96898651123047;73.43729400634766;1.0;219.0;203.0;jaxa
128;646;69.63839721679688;73.2320327758789;1.0;220.0;203.0;jaxa
129;647;69.31591796875;73.0263442993164;1.0;221.0;203.0;jaxa
130;648;69.00128173828125;72.82023620605469;1.0;222.0;203.0;jaxa
131;649;68.6942138671875;72.61373901367188;1.0;223.0;203.0;jaxa
132;650;68.39447021484375;72.40687561035156;1.0;224.0;203.0;jaxa
133;651;68.101806640625;72.19966125488281;1.0;225.0;203.0;jaxa
134;652;67.81598663330078;71.99211120605469;1.0;226.0;203.0;jaxa
135;653;67.53678894042969;71.78424072265625;1.0;227.0;203.0;jaxa
136;654;67.26399230957031;71.5760726928711;1.0;228.0;203.0;jaxa
137;655;66.99740600585938;71.36762237548828;1.0;229.0;203.0;jaxa
138;656;66.48204040527344;70.94993591308594;1.0;231.0;203.0;jaxa
139;657;66.23289489746094;70.74073028564453;1.0;232.0;203.0;jaxa
140;663;64.84688568115234;69.48119354248047;1.0;238.0;203.0;jaxa
141;707;66.34200286865234;71.4507064819336;1.0;229.0;204.0;jaxa
142;708;66.08768463134766;71.24099731445312;1.0;230.0;204.0;jaxa
143;709;65.8390884399414;71.03105926513672;1.0;231.0;204.0;jaxa
144;715;64.45797729492188;69.76727294921875;1.0;237.0;204.0;jaxa
145;716;64.2447280883789;69.5560531616211;1.0;238.0;204.0;jaxa
146;767;63.845664978027344;69.84074401855469;1.0;237.0;205.0;jaxa
147;817;63.228851318359375;69.91195678710938;1.0;237.0;206.0;jaxa
148;867;62.60763168334961;69.98089599609375;1.0;237.0;207.0;jaxa
149;868;62.41191864013672;69.76727294921875;1.0;238.0;207.0;jaxa
150;918;61.792510986328125;69.8331298828125;1.0;238.0;208.0;jaxa
151;966;61.35238265991211;70.11180114746094;1.0;237.0;209.0;jaxa
152;967;61.16903305053711;69.89667510986328;1.0;238.0;209.0;jaxa
153;968;60.47401428222656;69.03565979003906;1.0;242.0;209.0;jaxa
154;969;60.30927276611328;68.8203125;1.0;243.0;209.0;jaxa
155;1013;60.71857452392578;70.1737289428711;1.0;237.0;210.0;jaxa
156;1014;60.03325653076172;69.31011962890625;1.0;241.0;210.0;jaxa
157;1058;60.25511932373047;70.44976806640625;1.0;236.0;211.0;jaxa
158;1059;60.08079147338867;70.23326873779297;1.0;237.0;211.0;jaxa
159;47;85.38007354736328;73.89471435546875;1.0;207.0;188.0;jaxa
160;73;85.28524780273438;74.2139892578125;1.0;206.0;189.0;jaxa
161;74;84.75286102294922;74.04048919677734;1.0;207.0;189.0;jaxa
162;75;84.23210906982422;73.86572265625;1.0;208.0;189.0;jaxa
163;101;85.18644714355469;74.53345489501953;1.0;205.0;190.0;jaxa
164;102;84.64417266845703;74.35955810546875;1.0;206.0;190.0;jaxa
165;104;83.59564971923828;74.00797271728516;1.0;208.0;190.0;jaxa
166;105;83.08877563476562;73.83036804199219;1.0;209.0;190.0;jaxa
167;132;85.08343505859375;74.85310363769531;1.0;204.0;191.0;jaxa
168;137;82.44365692138672;73.96904754638672;1.0;209.0;191.0;jaxa
169;138;81.95093536376953;73.78868865966797;1.0;210.0;191.0;jaxa
170;139;80.08724975585938;73.05687713623047;1.0;214.0;191.0;jaxa
171;175;81.29777526855469;73.92375946044922;1.0;210.0;192.0;jaxa
172;176;80.8194580078125;73.74073791503906;1.0;211.0;192.0;jaxa
173;177;80.3519515991211;73.55670166015625;1.0;212.0;192.0;jaxa
174;178;79.89496612548828;73.37169647216797;1.0;213.0;192.0;jaxa
175;179;79.44818878173828;73.18575286865234;1.0;214.0;192.0;jaxa
176;359;75.56402587890625;73.09971618652344;1.0;217.0;196.0;jaxa
177;403;74.89042663574219;73.21350860595703;1.0;217.0;197.0;jaxa
178;444;74.20759582519531;73.32500457763672;1.0;217.0;198.0;jaxa
179;445;73.82784271240234;73.12732696533203;1.0;218.0;198.0;jaxa
180;7;99.80609130859376;76.64446258544922;1.0;187.0;186.0;jaxa
181;8;99.00850677490234;76.51190948486328;1.0;188.0;186.0;jaxa
182;9;98.22672271728516;76.37684631347656;1.0;189.0;186.0;jaxa
183;10;97.46056365966795;76.2393569946289;1.0;190.0;186.0;jaxa
184;22;96.8699951171875;76.41914367675781;1.0;190.0;187.0;jaxa
185;40;96.26348876953124;76.59752655029297;1.0;190.0;188.0;jaxa
186;41;95.50547790527344;76.45384979248047;1.0;191.0;188.0;jaxa
187;42;94.76364135742188;76.30792236328125;1.0;192.0;188.0;jaxa
188;43;94.03771209716795;76.1598129272461;1.0;193.0;188.0;jaxa
189;44;93.32740783691406;76.00959014892578;1.0;194.0;188.0;jaxa
190;45;92.63243865966795;75.85733032226562;1.0;195.0;188.0;jaxa
191;70;91.99787902832033;76.0245361328125;1.0;195.0;189.0;jaxa
192;71;91.31690979003906;75.86841583251953;1.0;196.0;189.0;jaxa
193;72;90.65106201171876;75.71041107177734;1.0;197.0;189.0;jaxa
194;95;90.0;75.87210845947266;1.0;197.0;190.0;jaxa
195;96;89.34893798828125;75.71041107177734;1.0;198.0;190.0;jaxa
196;97;88.7126693725586;75.54698181152344;1.0;199.0;190.0;jaxa
197;98;88.09085083007812;75.38188171386719;1.0;200.0;190.0;jaxa
198;99;87.48312377929688;75.21517944335938;1.0;201.0;190.0;jaxa
199;923;71.06466674804688;73.73186492919922;1.0;284.0;239.0;osisaf
200;924;71.31808471679688;73.51763916015625;1.0;285.0;239.0;osisaf
201;925;71.56504821777344;73.30303192138672;1.0;286.0;239.0;osisaf
202;926;71.8057861328125;73.08805847167969;1.0;287.0;239.0;osisaf
203;927;72.04052734375;72.87272644042969;1.0;288.0;239.0;osisaf
204;961;70.31968688964844;73.65704345703125;1.0;284.0;240.0;osisaf
205;962;71.08560180664062;73.01598358154297;1.0;287.0;240.0;osisaf
206;1000;69.58157348632812;73.57945251464844;1.0;284.0;241.0;osisaf
207;1001;69.8515853881836;73.36713409423828;1.0;285.0;241.0;osisaf
208;1002;70.3715591430664;72.94122314453125;1.0;287.0;241.0;osisaf
209;1003;72.00408935546875;71.43846893310547;1.0;294.0;241.0;osisaf
210;1038;69.12840270996094;73.28780364990234;1.0;285.0;242.0;osisaf
211;1039;69.3994369506836;73.0760269165039;1.0;286.0;242.0;osisaf
212;1077;68.69068908691406;72.9950180053711;1.0;286.0;243.0;osisaf
213;1078;68.96248626708984;72.78377532958984;1.0;287.0;243.0;osisaf
214;1110;68.26770782470703;72.7011489868164;1.0;287.0;244.0;osisaf
215;1111;68.5400390625;72.49042510986328;1.0;288.0;244.0;osisaf
216;1138;67.8587646484375;72.40623474121094;1.0;288.0;245.0;osisaf
217;1139;68.13142395019531;72.19601440429688;1.0;289.0;245.0;osisaf
218;1140;68.39776611328125;71.98533630371094;1.0;290.0;245.0;osisaf
219;1167;67.73600769042969;71.90060424804688;1.0;290.0;246.0;osisaf
220;1168;68.00259399414062;71.69041442871094;1.0;291.0;246.0;osisaf
221;1195;67.35319519042969;71.60420989990234;1.0;291.0;247.0;osisaf
222;1221;66.70988464355469;71.51564025878906;1.0;291.0;248.0;osisaf
223;1222;66.98243713378906;71.306884765625;1.0;292.0;248.0;osisaf
224;1246;66.35098266601562;71.2169418334961;1.0;292.0;249.0;osisaf
225;1247;66.62319946289062;71.00865936279297;1.0;293.0;249.0;osisaf
226;1248;67.15023803710938;70.59062957763672;1.0;295.0;249.0;osisaf
227;1273;66.00321960449219;70.91738891601562;1.0;293.0;250.0;osisaf
228;1274;66.27497100830078;70.70956420898438;1.0;294.0;250.0;osisaf
229;1275;66.54097747802734;70.50123596191406;1.0;295.0;250.0;osisaf
230;1276;66.80140686035156;70.29242706298828;1.0;296.0;250.0;osisaf
231;1277;67.05643463134766;70.08314514160156;1.0;297.0;250.0;osisaf
232;1278;67.79058837890625;69.45256042480469;1.0;300.0;250.0;osisaf
233;1279;68.2557144165039;69.02999114990234;1.0;302.0;250.0;osisaf
234;1280;68.48139190673828;68.81808471679688;1.0;303.0;250.0;osisaf
235;1281;68.70264434814453;68.60577392578125;1.0;304.0;250.0;osisaf
236;1308;66.46288299560547;69.99336242675781;1.0;297.0;251.0;osisaf
237;1309;66.96724700927734;69.57518005371094;1.0;299.0;251.0;osisaf
238;1310;67.21183013916016;69.36540222167969;1.0;300.0;251.0;osisaf
239;1311;67.45154571533203;69.15516662597656;1.0;301.0;251.0;osisaf
240;1312;67.6865234375;68.94449615478516;1.0;302.0;251.0;osisaf
241;1313;67.91690063476562;68.7333984375;1.0;303.0;251.0;osisaf
242;1314;68.1427993774414;68.52188110351562;1.0;304.0;251.0;osisaf
243;1315;68.36434173583984;68.30995178222656;1.0;305.0;251.0;osisaf
244;1340;65.87464904785156;69.90141296386719;1.0;297.0;252.0;osisaf
245;1341;66.13423919677734;69.6934585571289;1.0;298.0;252.0;osisaf
246;1342;66.38862609863281;69.48502349853516;1.0;299.0;252.0;osisaf
247;1344;66.88233947753906;69.06673431396484;1.0;301.0;252.0;osisaf
248;1345;67.12194061279297;68.85690307617188;1.0;302.0;252.0;osisaf
249;1371;65.8150634765625;69.39275360107422;1.0;299.0;253.0;osisaf
250;1372;66.06897735595703;69.18472290039062;1.0;300.0;253.0;osisaf
251;1373;66.31790924072266;68.9762191772461;1.0;301.0;253.0;osisaf
252;1396;64.71429443359375;69.71113586425781;1.0;297.0;254.0;osisaf
253;1397;64.98310852050781;69.5050277709961;1.0;298.0;254.0;osisaf
254;1398;65.24662017822266;69.29840087890625;1.0;299.0;254.0;osisaf
255;1419;63.86358642578125;69.8174819946289;1.0;296.0;255.0;osisaf
256;1420;64.14226531982422;69.61286163330078;1.0;297.0;255.0;osisaf
257;1438;63.0041618347168;69.91925811767578;1.0;295.0;256.0;osisaf
258;1439;63.29277420043945;69.7161865234375;1.0;296.0;256.0;osisaf
259;1456;62.13627624511719;70.01641082763672;1.0;294.0;257.0;osisaf
260;1457;62.43487548828125;69.81494140625;1.0;295.0;257.0;osisaf
261;1472;61.26020431518555;70.10887145996094;1.0;293.0;258.0;osisaf
262;1473;61.56882858276367;69.9090576171875;1.0;294.0;258.0;osisaf
263;1485;60.05121994018555;70.39395904541016;1.0;291.0;259.0;osisaf
264;1486;60.376251220703125;70.19656372070312;1.0;292.0;259.0;osisaf
265;1487;60.694923400878906;69.99848175048828;1.0;293.0;259.0;osisaf
266;1508;60.21632766723633;69.3778305053711;1.0;295.0;261.0;osisaf
267;1509;60.524112701416016;69.17979431152344;1.0;296.0;261.0;osisaf
268;1510;60.82615280151367;68.9811019897461;1.0;297.0;261.0;osisaf
269;1519;60.29298782348633;68.86904907226562;1.0;297.0;262.0;osisaf
270;314;85.34174346923828;74.7935562133789;1.0;283.0;221.0;osisaf
271;315;85.40945434570312;74.56829833984375;1.0;284.0;221.0;osisaf
272;316;85.47523498535156;74.34294128417969;1.0;285.0;221.0;osisaf
273;346;84.80557250976562;73.8730697631836;1.0;287.0;222.0;osisaf
274;374;84.01184844970703;73.85102844238281;1.0;287.0;223.0;osisaf
275;402;83.22042846679688;73.82586669921875;1.0;287.0;224.0;osisaf
276;430;82.43160247802734;73.79761505126953;1.0;287.0;225.0;osisaf
277;460;81.6456527709961;73.76627349853516;1.0;287.0;226.0;osisaf
278;491;80.86284637451172;73.73186492919922;1.0;287.0;227.0;osisaf
279;523;80.0834732055664;73.69441223144531;1.0;287.0;228.0;osisaf
280;524;80.21759033203125;73.47142791748047;1.0;288.0;228.0;osisaf
281;525;80.3481674194336;73.24827575683594;1.0;289.0;228.0;osisaf
282;526;80.47533416748047;73.02497863769531;1.0;290.0;228.0;osisaf
283;560;79.59228515625;73.2088394165039;1.0;289.0;229.0;osisaf
284;596;78.84005737304688;73.16647338867188;1.0;289.0;230.0;osisaf
285;629;78.0916976928711;73.1211929321289;1.0;289.0;231.0;osisaf
286;41;99.2239227294922;76.70246124267578;1.0;274.0;206.0;osisaf
287;42;99.07149505615234;76.4798355102539;1.0;275.0;206.0;osisaf
288;43;98.92398834228516;76.25706481933594;1.0;276.0;206.0;osisaf
289;59;97.99747467041016;76.2902603149414;1.0;276.0;207.0;osisaf
290;60;97.86907196044922;76.06682586669922;1.0;277.0;207.0;osisaf
291;71;97.06672668457033;76.31982421875;1.0;276.0;208.0;osisaf
292;72;96.95295715332033;76.0959243774414;1.0;277.0;208.0;osisaf
293;83;96.1322250366211;76.34574890136719;1.0;276.0;209.0;osisaf
294;95;95.19442749023438;76.36800384521484;1.0;276.0;210.0;osisaf
295;96;95.11042022705078;76.14334106445312;1.0;277.0;210.0;osisaf
296;109;94.1849136352539;76.16162872314453;1.0;277.0;211.0;osisaf
297;123;93.2572250366211;76.17626953125;1.0;277.0;212.0;osisaf
298;124;93.20521545410156;75.95100402832031;1.0;278.0;212.0;osisaf
299;141;92.29061126708984;75.96182250976562;1.0;278.0;213.0;osisaf
300;142;92.25457763671876;75.73632049560547;1.0;279.0;213.0;osisaf
301;160;91.35319519042967;75.74342346191406;1.0;279.0;214.0;osisaf
302;179;90.45114135742188;75.74697875976562;1.0;279.0;215.0;osisaf
303;198;89.54885864257812;75.74697875976562;1.0;279.0;216.0;osisaf
304;199;89.55585479736328;75.52124786376953;1.0;280.0;216.0;osisaf
305;219;88.66777801513672;75.51774597167969;1.0;280.0;217.0;osisaf
306;239;87.78034210205078;75.51074981689453;1.0;280.0;218.0;osisaf
307;240;87.81420135498047;75.28511810302734;1.0;281.0;218.0;osisaf
308;264;87.03176879882812;74.82361602783203;1.0;283.0;219.0;osisaf
